Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
291630	351355	6	DUSP22
391739	411443	6	IRF4
485133	693169	6	EXOC2
655939	657100	6	HUS1B
1312098	1314758	6	FOXQ1
1389576	1395603	6	FOXF2
1609915	1613897	6	FOXC1
1623793	2245702	6	GMDS
2663629	2770330	6	MYLK4
2765393	2786952	6	WRNIP1
2832332	2842001	6	SERPINB1
2887169	2903309	6	SERPINB9
2948158	2972375	6	SERPINB6
2987987	3022109	6	NQO2
3063824	3115187	6	RIPK1
3118374	3153599	6	BPHL
3153497	3157544	6	TUBB2A
3223324	3231730	6	TUBB2B
3231403	3304020	6	PSMG4
3268962	3457050	6	SLC22A23
3722614	3751713	6	PXDC1
3849373	3851320	6	FAM50B
4021266	4064983	6	PRP4K
4049434	4087344	6	FAM217A
4115685	4135597	6	ECI2
4706159	4955551	6	CDYL
4994717	5004063	6	RPP40
5085341	5089487	6	PPP1R3G
5102595	5260950	6	LYRM4
5261044	5829192	6	FARS2
5997999	6008688	6	NRN1
6144080	6321013	6	F13A1
6588108	6654983	6	LY86
7107418	7251982	6	RREB1
7268306	7347446	6	SSR1
7326656	7389742	6	CAGE1
7389467	7418037	6	RIOK1
7541326	7586717	6	DSP
7590189	7611967	6	SNRNP48
7726049	7881728	6	BMP6
7881440	7911011	6	TXNDC5
7881522	8064364	6	BLOC1S5-TXNDC5
8013566	8064414	6	BLOC1S5
8015726	8102530	6	EEF1E1-BLOC1S5
8073360	8102573	6	EEF1E1
8411435	8435983	6	SLC35B3
10393186	10419659	6	TFAP2A
10492223	10629368	6	GCNT2
10671418	10694797	6	C6orf52
10694633	10711166	6	PAK1IP1
10722915	10731132	6	TMEM14C
10747746	10852753	6	TMEM14B
10747794	10930423	6	
10762723	10838553	6	MAK
10873223	10882041	6	GCM2
10886831	10979320	6	SYCP2L
10980759	11044399	6	ELOVL2
11093834	11138733	6	SMIM13
11094194	11135830	6	
11102324	11111845	6	ERVFRD-1
11183298	11382348	6	NEDD9
11537748	11583524	6	TMEM170B
11712054	11807046	6	ADTRP
12008762	12164999	6	HIVEP1
12287459	12297194	6	EDN1
12716312	13290446	6	PHACTR1
13266542	13328583	6	TBC1D7
13357830	13487662	6	GFOD1
13574210	13615158	6	SIRT5
13615335	13633912	6	NOL7
13621498	13712087	6	RANBP9
13786557	13814696	6	MCUR1
13924446	13980310	6	RNF182
14117256	14140682	6	CD83
15244937	15522042	6	JARID2
15522807	15663058	6	DTNBP1
16129086	16151367	6	MYLIP
16238555	16295923	6	GMPR
16299112	16761491	6	ATXN1
16328342	16328431	6	
17102050	17131378	6	STMND1
17281361	17293871	6	RBM24
17393375	17557792	6	CAP2
17600302	17611719	6	FAM8A1
17614707	17706935	6	NUP153
17759183	17987635	6	KIF13A
18120440	18122677	6	NHLRC1
18128311	18155348	6	TPMT
18155329	18223854	6	KDM1B
18223860	18265997	6	DEK
18387346	18468874	6	RNF144B
19837366	19842197	6	ID4
20099684	20212469	6	MBOAT1
20401847	20493714	6	E2F3
