Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
1008503	1010101	X	RPL14P5
5168918	5169439	X	MTND6P12
5305714	5307128	X	HADHBP1
3659487	3668192	X	PRKX-AS1
253743	255091	X	
4627200	4633572	X	
8783514	8784461	X	DRAXINP1
8169944	8171267	X	VCX2
8856665	8857059	X	ANAPC15P1
13310652	13319933	X	GS1-600G8.3
8980425	8982505	X	NOLC1P1
6422092	6422701	X	RPS5P8
5169512	5170645	X	MTCYBP12
3717149	3717600	X	RPS27AP20
16198428	16199289	X	RPL6P30
11293413	11300761	X	AMELX
2334295	2336410	X	DHRSX-IT1
2219506	2502805	X	DHRSX
21421822	21422294	X	RARRES2P3
11221348	11225731	X	FAM9CP1
3953056	3953561	X	RPL24P9
9024232	9295682	X	FAM9B
23351013	23351450	X	HIKESHIP1
17897711	17900333	X	
11334233	11335901	X	GOT2P7
34717440	34717992	X	
8790795	8801383	X	FAM9A
13327937	13329867	X	
320990	321851	X	LINC00685
20443326	20492349	X	
16123565	16153518	X	GRPR
20311838	20317783	X	
18341216	18341346	X	TMSB10P2
18162931	18220886	X	BEND2
15117437	15117768	X	RPL35AP37
14244382	14244928	X	UBE2E4P
17933349	17934823	X	MDM4P1
9179385	9179606	X	BRK1P1
34387722	34388464	X	SRSF2P1
21654690	21658330	X	KLHL34
21372801	21654695	X	CNKSR2
39401252	39434824	X	LINC01283
34768327	34768688	X	
16474342	16475340	X	
25194381	25195207	X	METTL1P1
37945884	37946775	X	SC4MOP
45381527	45381995	X	PLLPP1
36374793	36375183	X	RPS15AP40
36211096	36211635	X	HMGB1P16
34516920	34517358	X	
46439709	46440714	X	GAPDHP65
34206725	34415537	X	
46646594	46647330	X	PGAM1P7
46400686	46402957	X	
44029332	44030921	X	RBM39P1
39787132	39788136	X	GAPDHP1
16650158	16654670	X	S100G
46560928	46562749	X	MKI67P1
35058927	35059974	X	
37990779	37991314	X	H2AP
37291168	37292227	X	MOB1AP2
35626142	35627064	X	SIAH1P1
16167481	16171464	X	MAGEB17
25591353	25591808	X	RPP40P1
27847588	27847939	X	
40514895	40515508	X	
35710911	35711942	X	
34942796	34944915	X	FAM47B
46418450	46420079	X	CTNNBL1P1
46684765	46685707	X	YBX1P8
50156159	50156371	X	PYY3
35741600	35744582	X	
43407665	43408559	X	NANOGP10
35761499	35762479	X	NFYCP1
44633692	44635232	X	CHTF8P1
65821255	65822249	X	CCNYL5
21841794	21841961	X	
52326166	52326762	X	
46725164	46725818	X	CHMP5P1
27807990	27823014	X	MAGEB10
27854323	27855353	X	
65786763	65787169	X	
35864858	35869631	X	
42252459	42699385	X	
54748918	54798255	X	ITIH6
64268081	64395452	X	MTMR8
65925836	66001436	X	
62878811	62884842	X	ZFRP1
55520382	55520714	X	
18425583	18653629	X	CDKL5
35919734	36385317	X	CFAP47
62779250	62780326	X	SSBL2P
27811885	27812902	X	
72781865	72782660	X	FAM236B
21855987	21858740	X	YY2
65794345	65795835	X	ETF1P3
64612632	64613262	X	YWHAZP7
63087071	63088664	X	
50190777	50201007	X	AKAP4
73274785	73275515	X	YWHAZP8
64305047	64306733	X	KPNA4P1
44649129	44649719	X	RPL19P20
46912276	47061242	X	JADE3
55623400	55626192	X	FOXR2
64044305	64045058	X	HNRNPDP1
65956289	65957196	X	RBMXP5
72688950	72712348	X	PHKA1-AS1
55452127	55453566	X	MAGEH1
43000174	43000396	X	SMIM15P1
43949732	43971582	X	NDP-AS1
42285130	42285925	X	
