Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
8169944	8171267	X	VCX2
11293413	11300761	X	AMELX
2219506	2502805	X	DHRSX
9024232	9295682	X	FAM9B
8790795	8801383	X	FAM9A
16123565	16153518	X	GRPR
18162931	18220886	X	BEND2
21654690	21658330	X	KLHL34
21372801	21654695	X	CNKSR2
16650158	16654670	X	S100G
37990779	37991314	X	H2AP
16167481	16171464	X	MAGEB17
34942796	34944915	X	FAM47B
27807990	27823014	X	MAGEB10
54748918	54798255	X	ITIH6
64268081	64395452	X	MTMR8
18425583	18653629	X	CDKL5
35919734	36385317	X	CFAP47
72781865	72782660	X	FAM236B
21855987	21858740	X	YY2
50190777	50201007	X	AKAP4
46912276	47061242	X	JADE3
55623400	55626192	X	FOXR2
55452127	55453566	X	MAGEH1
37349330	38687674	X	
77447389	77457278	X	FGF16
88747225	88754785	X	CPXCR1
91434595	91438584	X	PABPC5
73077276	73079512	X	PABPC1L2A
100969708	100990831	X	ARL13A
80669503	80809877	X	BRWD3
69616067	70039472	X	EDA
76427710	76431342	X	MAGEE1
89921908	89922883	X	TGIF2LX
107980864	107982370	X	TEX13B
75782987	75785254	X	MAGEE2
37685791	37732130	X	XK
11117651	11665920	X	ARHGAP6
50202713	50351914	X	CCNB3
83508290	83512127	X	POU3F4
72912615	72913401	X	FAM236C
42777366	42778163	X	PPP1R2C
83861126	83886699	X	CYLC1
106900063	106903341	X	RIPPLY1
27977992	27981449	X	DCAF8L1
63347228	63351332	X	SPIN4
126163499	126166289	X	DCAF12L2
70062457	70064179	X	OTUD6A
115289715	115307563	X	LUZP4
141002594	141003706	X	SPANXB1
142202342	142205290	X	MAGEC2
133216662	133218354	X	TFDP3
143508735	143517475	X	SPANXN3
120877496	120878924	X	
120930250	120932301	X	CT47A12
136487947	136493780	X	BRS3
64224194	64230607	X	ASB12
120933840	120937158	X	CT47A11
155061622	155065519	X	
64185117	64205708	X	AMER1
141241463	141242517	X	SPANXC
145247503	145256208	X	SPANXN1
149774068	149776867	X	HSFX1
155061622	155071136	X	CMC4
149881141	149885835	X	MAGEA8
120953282	120956600	X	CT47A7
141111605	141177129	X	LDOC1
149477104	149540926	X	
149688228	149717268	X	MAGEA11
151176584	151181465	X	GPR50
151563675	151676739	X	PASD1
153317680	153321767	X	PNMA6F
141697411	141698739	X	SPANXD
154835788	155026940	X	F8
126819729	126821786	X	PRR32
146809771	146810411	X	CXorf51B
148500617	149000663	X	AFF2
126549383	126552814	X	DCAF12L1
121047610	121050094	X	GLUD2
72301691	72572843	X	
136300963	136416890	X	ADGRG4
155258235	155264491	X	RAB39B
93670930	93673578	X	NAP1L3
116461686	116462976	X	CT83
141589708	141590762	X	SPANXA2
71615916	71618511	X	CXCR3
155459415	155460005	X	H2AB3
154144243	154159032	X	OPN1LW
154182596	154196861	X	OPN1MW
154483717	154486615	X	UBL4A
11758159	11775772	X	MSL3
12867072	12890361	X	TLR7
52495808	52500812	X	XAGE1A
52644061	52654900	X	SSX7
52796144	52797427	X	SPANXN5
155456914	155458620	X	F8A3
73002939	73006106	X	PABPC1L2B
115189410	115192868	X	RBMXL3
52751132	52790305	X	SSX2B
72938163	72938958	X	FAM236A
149929573	149931287	X	HSFX4
153334147	153360110	X	ZNF275
47370578	47414498	X	ZNF157
69504326	69532508	X	NALF2
153072454	153075019	X	PNMA6A
48346427	48356707	X	SSX3
48383516	48393347	X	SSX4
48521806	48545469	X	
15319452	15335554	X	PIGA
140502985	140505069	X	SOX3
153872221	153909223	X	
101391011	101412297	X	RPL36A-HNRNPH2
71103889	71106788	X	CXorf65
71103987	71111575	X	
74732856	74925472	X	NEXMIF
44844021	44844888	X	DUSP21
107628428	107651993	X	PRPS1
49341192	49345922	X	GAGE2E
49529869	49529985	X	GAGE12B
49687447	49695984	X	PAGE1
137023929	137033995	X	GPR101
49205063	49233371	X	CACNA1F
56563627	56567868	X	UBQLN2
77504880	77786233	X	ATRX
108044970	108079184	X	VSIG1
100584936	100599885	X	TNMD
131058346	131089885	X	ARHGAP36
102247167	102326722	X	NXF2
15561047	15675608	X	
55089018	55092842	X	PAGE2
24558087	24672677	X	PCYT1B
25003694	25016420	X	ARX
156020826	156025710	X	WASH6P
55220346	55224108	X	PAGE5
101268253	101293057	X	TAF7L
48255392	48267444	X	SSX1
70528940	70908711	X	TEX11
129981107	130058071	X	BCORL1
108719946	108736563	X	IRS4
104250038	104254933	X	ESX1
154585133	154586816	X	CTAG1A
129779949	129795201	X	SASH3
100644195	100675788	X	SRPX2
135759846	135768191	X	CT45A3
135794685	135802787	X	CT45A6
135811668	135820012	X	CT45A2
135846497	135854538	X	CT45A8
135863418	135871812	X	CT45A9
139955728	139965521	X	CXorf66
119758588	119760202	X	SOWAHD
119870475	119871733	X	RNF113A
31071233	31072041	X	FTHL17
51743442	51746232	X	GSPT2
48186220	48196795	X	SSX5
149548210	149549924	X	HSFX3
26138343	26140736	X	MAGEB18
26192440	26195646	X	MAGEB6
26216169	26218270	X	MAGEB5
49071470	49079887	X	
149781930	149787737	X	MAGEA9
120938701	120942023	X	CT47A10
120943561	120946883	X	CT47A9
120948422	120951744	X	CT47A8
120958165	120961487	X	CT47A6
120963026	120966348	X	CT47A5
120967886	120971208	X	CT47A4
120972746	120976068	X	CT47A3
120977606	120980928	X	CT47A2
149592512	149595314	X	HSFX2
135094985	135098712	X	SMIM10L2B
135118955	135120526	X	ETDB
135156540	135171398	X	CT55
135252061	135253583	X	ETDA
135421944	135428075	X	SMIM10L2A
154884972	154885558	X	H2AB1
154886355	154888061	X	F8A1
109372906	109482086	X	GUCY2F
109623700	109625172	X	KCNE5
155380709	155381299	X	H2AB2
155382095	155383801	X	F8A2
3006546	3034111	X	ARSH
77967949	77969638	X	PGAM4
130339888	130373361	X	SLC25A14
130379449	130385674	X	GPR119
22032325	22494713	X	PHEX
30215563	30220089	X	MAGEB2
30242000	30244187	X	MAGEB4
151953124	151974680	X	GABRE
107449652	107605255	X	FRMPD3
101078879	101096367	X	TMEM35A
23783173	23786210	X	SAT1
131544074	131545000	X	OR13H1
48130626	48132620	X	SPACA5B
68647666	68725842	X	STARD8
30230657	30237495	X	MAGEB3
71763349	71767204	X	CXorf49B
154219756	154233286	X	OPN1MW2
72807425	72808210	X	FAM236D
128050962	128052403	X	ACTRT1
71714371	71718285	X	CXorf49
154617609	154619282	X	CTAG1B
154651972	154653579	X	CTAG2
112774503	112840831	X	AMOT
55258415	55264916	X	PAGE3
48402082	48411960	X	SSX4B
120982476	120985760	X	CT47A1
40623428	40624136	X	MPC1L
72776890	72848803	X	DMRTC1B
2752040	2816500	X	XG
104011147	104013708	X	H2BW1
91779261	92623230	X	PCDH11X
153056409	153060467	X	PNMA3
72872025	72943837	X	DMRTC1
139530739	139563459	X	F9
147981337	148026665	X	FMR1NB
152133310	152138578	X	MAGEA10
52862525	52868083	X	XAGE3
132076990	132128020	X	FRMD7
3308565	3346652	X	MXRA5
49541733	49549094	X	GAGE12D
49551289	49558645	X	GAGE12E
49570400	49577754	X	GAGE12G
49579949	49587301	X	GAGE12H
49599020	49608538	X	GAGE1
49303646	49319841	X	GAGE10
49322037	49329384	X	GAGE12J
152637895	152657542	X	GABRQ
152988824	152994116	X	PNMA5
17375200	17735994	X	NHS
54068324	54183281	X	FAM120C
149596556	149631912	X	TMEM185A
86148451	86832604	X	DACH2
13318647	13320053	X	ATXN3L
8464830	8466510	X	VCX3B
155071420	155123077	X	BRCC3
34129752	34132314	X	FAM47A
124246249	124336863	X	TEX13D
151734746	151745564	X	CNGA2
624344	659411	X	SHOX
73563197	73687111	X	CHIC1
120872607	120875866	X	CT47B1
140091678	140092911	X	HAPSTR2
52696896	52707178	X	SSX2
