Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name
ENSG00000177504,8169944,8171267,X,VCX2
ENSG00000125363,11293413,11300761,X,AMELX
ENSG00000169084,2219506,2502805,X,DHRSX
ENSG00000177138,9024232,9295682,X,FAM9B
ENSG00000183304,8790795,8801383,X,FAM9A
ENSG00000126010,16123565,16153518,X,GRPR
ENSG00000177324,18162931,18220886,X,BEND2
ENSG00000185915,21654690,21658330,X,KLHL34
ENSG00000149970,21372801,21654695,X,CNKSR2
ENSG00000169906,16650158,16654670,X,S100G
ENSG00000187516,37990779,37991314,X,H2AP
ENSG00000182798,16167481,16171464,X,MAGEB17
ENSG00000189132,34942796,34944915,X,FAM47B
ENSG00000177689,27807990,27823014,X,MAGEB10
ENSG00000102313,54748918,54798255,X,ITIH6
ENSG00000102043,64268081,64395452,X,MTMR8
ENSG00000008086,18425583,18653629,X,CDKL5
ENSG00000165164,35919734,36385317,X,CFAP47
ENSG00000268994,72781865,72782660,X,FAM236B
ENSG00000230797,21855987,21858740,X,YY2
ENSG00000147081,50190777,50201007,X,AKAP4
ENSG00000102221,46912276,47061242,X,JADE3
ENSG00000189299,55623400,55626192,X,FOXR2
ENSG00000187601,55452127,55453566,X,MAGEH1
ENSG00000250349,37349330,38687674,X,
ENSG00000196468,77447389,77457278,X,FGF16
ENSG00000147183,88747225,88754785,X,CPXCR1
ENSG00000174740,91434595,91438584,X,PABPC5
ENSG00000186288,73077276,73079512,X,PABPC1L2A
ENSG00000174225,100969708,100990831,X,ARL13A
ENSG00000165288,80669503,80809877,X,BRWD3
ENSG00000158813,69616067,70039472,X,EDA
ENSG00000198934,76427710,76431342,X,MAGEE1
ENSG00000153779,89921908,89922883,X,TGIF2LX
ENSG00000170925,107980864,107982370,X,TEX13B
ENSG00000186675,75782987,75785254,X,MAGEE2
ENSG00000047597,37685791,37732130,X,XK
ENSG00000047648,11117651,11665920,X,ARHGAP6
ENSG00000147082,50202713,50351914,X,CCNB3
ENSG00000196767,83508290,83512127,X,POU3F4
ENSG00000283594,72912615,72913401,X,FAM236C
ENSG00000102055,42777366,42778163,X,PPP1R2C
ENSG00000183035,83861126,83886699,X,CYLC1
ENSG00000147223,106900063,106903341,X,RIPPLY1
ENSG00000226372,27977992,27981449,X,DCAF8L1
ENSG00000186767,63347228,63351332,X,SPIN4
ENSG00000198354,126163499,126166289,X,DCAF12L2
ENSG00000189401,70062457,70064179,X,OTUD6A
ENSG00000102021,115289715,115307563,X,LUZP4
ENSG00000227234,141002594,141003706,X,SPANXB1
ENSG00000046774,142202342,142205290,X,MAGEC2
ENSG00000183434,133216662,133218354,X,TFDP3
ENSG00000189252,143508735,143517475,X,SPANXN3
ENSG00000278646,120877496,120878924,X,
ENSG00000226685,120930250,120932301,X,CT47A12
ENSG00000102239,136487947,136493780,X,BRS3
ENSG00000198881,64224194,64230607,X,ASB12
ENSG00000226929,120933840,120937158,X,CT47A11
ENSG00000288258,155061622,155065519,X,
ENSG00000184675,64185117,64205708,X,AMER1
ENSG00000198573,141241463,141242517,X,SPANXC
ENSG00000203923,145247503,145256208,X,SPANXN1
ENSG00000171116,149774068,149776867,X,HSFX1
ENSG00000182712,155061622,155071136,X,CMC4
ENSG00000156009,149881141,149885835,X,MAGEA8
ENSG00000228517,120953282,120956600,X,CT47A7
ENSG00000182195,141111605,141177129,X,LDOC1
ENSG00000241489,149477104,149540926,X,
ENSG00000185247,149688228,149717268,X,MAGEA11
ENSG00000102195,151176584,151181465,X,GPR50
ENSG00000166049,151563675,151676739,X,PASD1
ENSG00000225110,153317680,153321767,X,PNMA6F
ENSG00000196406,141697411,141698739,X,SPANXD
ENSG00000185010,154835788,155026940,X,F8
ENSG00000183631,126819729,126821786,X,PRR32
ENSG00000235699,146809771,146810411,X,CXorf51B
ENSG00000155966,148500617,149000663,X,AFF2
ENSG00000198889,126549383,126552814,X,DCAF12L1
ENSG00000182890,121047610,121050094,X,GLUD2
ENSG00000285547,72301691,72572843,X,
ENSG00000156920,136300963,136416890,X,ADGRG4
ENSG00000155961,155258235,155264491,X,RAB39B
ENSG00000186310,93670930,93673578,X,NAP1L3
ENSG00000204019,116461686,116462976,X,CT83
ENSG00000203926,141589708,141590762,X,SPANXA2
ENSG00000186810,71615916,71618511,X,CXCR3
ENSG00000277745,155459415,155460005,X,H2AB3
ENSG00000102076,154144243,154159032,X,OPN1LW
ENSG00000268221,154182596,154196861,X,OPN1MW
ENSG00000102178,154483717,154486615,X,UBL4A
ENSG00000005302,11758159,11775772,X,MSL3
ENSG00000196664,12867072,12890361,X,TLR7
ENSG00000204379,52495808,52500812,X,XAGE1A
ENSG00000187754,52644061,52654900,X,SSX7
ENSG00000204363,52796144,52797427,X,SPANXN5
ENSG00000277150,155456914,155458620,X,F8A3
ENSG00000184388,73002939,73006106,X,PABPC1L2B
ENSG00000175718,115189410,115192868,X,RBMXL3
ENSG00000268447,52751132,52790305,X,SSX2B
ENSG00000275520,72938163,72938958,X,FAM236A
ENSG00000283463,149929573,149931287,X,HSFX4
ENSG00000063587,153334147,153360110,X,ZNF275
ENSG00000147117,47370578,47414498,X,ZNF157
ENSG00000130054,69504326,69532508,X,NALF2
ENSG00000235961,153072454,153075019,X,PNMA6A
ENSG00000165584,48346427,48356707,X,SSX3
ENSG00000268009,48383516,48393347,X,SSX4
ENSG00000286268,48521806,48545469,X,
ENSG00000165195,15319452,15335554,X,PIGA
ENSG00000134595,140502985,140505069,X,SOX3
ENSG00000284987,153872221,153909223,X,
ENSG00000257529,101391011,101412297,X,RPL36A-HNRNPH2
ENSG00000204165,71103889,71106788,X,CXorf65
ENSG00000285171,71103987,71111575,X,
ENSG00000050030,74732856,74925472,X,NEXMIF
ENSG00000189037,44844021,44844888,X,DUSP21
ENSG00000147224,107628428,107651993,X,PRPS1
ENSG00000275113,49341192,49345922,X,GAGE2E
ENSG00000236737,49529869,49529985,X,GAGE12B
ENSG00000068985,49687447,49695984,X,PAGE1
ENSG00000165370,137023929,137033995,X,GPR101
ENSG00000102001,49205063,49233371,X,CACNA1F
ENSG00000188021,56563627,56567868,X,UBQLN2
ENSG00000085224,77504880,77786233,X,ATRX
ENSG00000101842,108044970,108079184,X,VSIG1
ENSG00000000005,100584936,100599885,X,TNMD
ENSG00000147256,131058346,131089885,X,ARHGAP36
ENSG00000269405,102247167,102326722,X,NXF2
ENSG00000285602,15561047,15675608,X,
ENSG00000234068,55089018,55092842,X,PAGE2
ENSG00000102230,24558087,24672677,X,PCYT1B
ENSG00000004848,25003694,25016420,X,ARX
ENSG00000182484,156020826,156025710,X,WASH6P
ENSG00000158639,55220346,55224108,X,PAGE5
ENSG00000102387,101268253,101293057,X,TAF7L
ENSG00000126752,48255392,48267444,X,SSX1
ENSG00000120498,70528940,70908711,X,TEX11
ENSG00000085185,129981107,130058071,X,BCORL1
ENSG00000133124,108719946,108736563,X,IRS4
ENSG00000123576,104250038,104254933,X,ESX1
ENSG00000268651,154585133,154586816,X,CTAG1A
ENSG00000122122,129779949,129795201,X,SASH3
ENSG00000102359,100644195,100675788,X,SRPX2
ENSG00000269096,135759846,135768191,X,CT45A3
ENSG00000278289,135794685,135802787,X,CT45A6
ENSG00000271449,135811668,135820012,X,CT45A2
ENSG00000278085,135846497,135854538,X,CT45A8
ENSG00000270946,135863418,135871812,X,CT45A9
ENSG00000203933,139955728,139965521,X,CXorf66
ENSG00000187808,119758588,119760202,X,SOWAHD
ENSG00000125352,119870475,119871733,X,RNF113A
ENSG00000132446,31071233,31072041,X,FTHL17
ENSG00000189369,51743442,51746232,X,GSPT2
ENSG00000165583,48186220,48196795,X,SSX5
ENSG00000283697,149548210,149549924,X,HSFX3
ENSG00000176774,26138343,26140736,X,MAGEB18
ENSG00000176746,26192440,26195646,X,MAGEB6
ENSG00000188408,26216169,26218270,X,MAGEB5
ENSG00000288053,49071470,49079887,X,
ENSG00000123584,149781930,149787737,X,MAGEA9
ENSG00000224089,120938701,120942023,X,CT47A10
ENSG00000226600,120943561,120946883,X,CT47A9
ENSG00000230347,120948422,120951744,X,CT47A8
ENSG00000226023,120958165,120961487,X,CT47A6
ENSG00000237957,120963026,120966348,X,CT47A5
ENSG00000230594,120967886,120971208,X,CT47A4
ENSG00000236126,120972746,120976068,X,CT47A3
ENSG00000242362,120977606,120980928,X,CT47A2
ENSG00000268738,149592512,149595314,X,HSFX2
ENSG00000196972,135094985,135098712,X,SMIM10L2B
ENSG00000224107,135118955,135120526,X,ETDB
