Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
65419	71585	1	OR4F5
450740	451678	1	OR4F29
685716	686654	1	OR4F16
923923	944575	1	SAMD11
943527	960714	1	NOC2L
960576	965719	1	KLHL17
966437	975865	1	PLEKHN1
975194	982134	1	PERM1
998962	1000172	1	HES4
1001138	1014540	1	ISG15
1020120	1056119	1	AGRN
1070967	1074306	1	RNF223
1081811	1116361	1	C1orf159
1173880	1197940	1	TTLL10
1203508	1206592	1	TNFRSF18
1211326	1214153	1	TNFRSF4
1216887	1238870	1	SDF4
1232237	1235041	1	B3GALT6
1242446	1246722	1	C1QTNF12
1253907	1274477	1	UBE2J2
1280436	1292029	1	SCNN1D
1292376	1309609	1	ACAP3
1308567	1311677	1	PUSL1
1311585	1324687	1	INTS11
1324756	1328897	1	CPTP
1331280	1335314	1	TAS1R3
1335276	1349945	1	DVL1
1352689	1361777	1	MXRA8
1373729	1375521	1	AURKAIP1
1385711	1399339	1	CCNL2
1401908	1407306	1	MRPL20
1415637	1421769	1	ANKRD65
1425871	1430255	1	TMEM88B
1434861	1442882	1	VWA1
1449689	1470163	1	ATAD3C
1471756	1497848	1	ATAD3B
1512147	1534686	1	ATAD3A
1534778	1540624	1	TMEM240
1541673	1574884	1	SSU72
1598012	1600135	1	FNDC10
1615434	1630610	1	MIB2
1631665	1635263	1	MMP23B
1635225	1659234	1	CDK11B
1659529	1693017	1	SLC35E2B
1702379	1724482	1	CDK11A
1751232	1780544	1	NADK
1785285	1892292	1	GNB1
1915108	1917296	1	CALML6
1917589	1919329	1	TMEM52
1921951	2003837	1	CFAP74
2019329	2030758	1	GABRD
2050411	2185395	1	PRKCZ
2184461	2212720	1	FAAP20
2227388	2310213	1	SKI
2319208	2391707	1	MORN1
2390670	2405444	1	RER1
2403964	2413797	1	PEX10
2425980	2505532	1	PLCH2
2508534	2526612	1	PANK4
2528745	2530263	1	HES5
2554244	2565382	1	TNFRSF14
2586491	2591470	1	PRXL2B
2590639	2633016	1	MMEL1
2636986	2801693	1	TTC34
3021467	3022903	1	ACTRT2
3069168	3438621	1	PRDM16
3454550	3481127	1	ARHGEF16
3487942	3611543	1	MEGF6
3624979	3630131	1	TPRG1L
3630767	3652761	1	WRAP73
3652516	3736201	1	TP73
3746460	3771645	1	CCDC27
3772655	3776709	1	SMIM1
3778559	3796511	1	LRRC47
3812086	3857723	1	CEP104
3857267	3885429	1	DFFB
3889125	3900293	1	C1orf174
4654609	4792534	1	AJAP1
5862804	5993455	1	NPHP4
5990927	6101193	1	KCNAB2
6101787	6180321	1	CHD5
6159430	6197757	1	
6185020	6209389	1	RPL22
6205392	6221299	1	RNF207
6221193	6235972	1	ICMT
6244179	6245578	1	HES3
6247347	6261098	1	GPR153
6264268	6393767	1	ACOT7
6412418	6424690	1	HES2
6424776	6461367	1	ESPN
6460786	6466181	1	TNFRSF25
6467122	6520074	1	PLEKHG5
6521347	6554536	1	NOL9
6555307	6579755	1	TAS1R1
6579994	6589280	1	ZBTB48
6590724	6614607	1	KLHL21
6613731	6624030	1	PHF13
6624845	6635586	1	THAP3
6634168	6701924	1	DNAJC11
6785454	7769706	1	CAMTA1
7771296	7781432	1	VAMP3
7784291	7845181	1	PER3
7843083	7853512	1	UTS2
7915871	7943165	1	TNFRSF9
7954264	7985505	1	PARK7
8004404	8026312	1	ERRFI1
8318104	8344167	1	SLC45A1
8352397	8848921	1	RERE
8860977	8879289	1	ENO1
8945867	8975092	1	CA6
9002973	9026423	1	SLC2A7
9035106	9088478	1	SLC2A5
9100305	9129122	1	GPR157
9234774	9271337	1	H6PD
9292101	9369532	1	SPSB1
9539465	9585173	1	SLC25A33
9588721	9614877	1	TMEM201
9629889	9730117	1	PIK3CD
9728926	9823993	1	CLSTN1
9848269	9910368	1	CTNNBIP1
9922113	9943407	1	LZIC
9943428	9985501	1	NMNAT1
9997054	10016021	1	RBP7
10032832	10181244	1	UBE4B
10210533	10381606	1	KIF1B
10398592	10420511	1	PGD
10430102	10452153	1	CENPS-CORT
10430433	10442808	1	CENPS
10450031	10451998	1	CORT
10456522	10472549	1	DFFA
10472288	10630758	1	PEX14
10636604	10796650	1	CASZ1
10946471	10982076	1	CIROZ
11012344	11030528	1	TARDBP
11022009	11047241	1	MASP2
11054584	11060053	1	SRM
11066613	11099898	1	EXOSC10
11106531	11262556	1	MTOR
11189355	11195981	1	ANGPTL7
11273198	11296049	1	UBIAD1
11478905	11537583	1	DISP3
11637018	11655785	1	FBXO2
11650618	11663327	1	FBXO44
11657230	11692605	1	MAD2L2
11664189	11674354	1	FBXO6
11690958	11725857	1	DRAXIN
11736084	11754802	1	AGTRAP
11761787	11789585	1	C1orf167
11785723	11806455	1	MTHFR
11806096	11848079	1	CLCN6
11845709	11848345	1	NPPA
11857464	11858976	1	NPPB
11919591	11926428	1	KIAA2013
11934205	11975542	1	PLOD1
11980181	12015211	1	MFN2
12019466	12032046	1	MIIP
12063303	12144207	1	TNFRSF8
12166977	12209228	1	TNFRSF1B
12230030	12512047	1	VPS13D
12567909	12620133	1	DHRS3
12644085	12667076	1	AADACL4
12716110	12728760	1	AADACL3
12746200	12763699	1	CFAP107
12773738	12777906	1	PRAMEF12
12791397	12796628	1	PRAMEF1
12824605	12831410	1	PRAMEF11
12847377	12848720	1	HNRNPCL1
12857086	12861909	1	PRAMEF2
12879212	12886201	1	PRAMEF4
12892250	12898270	1	PRAMEF10
12916610	12920751	1	PRAMEF7
12938472	12947580	1	PRAMEF6
13049476	13056575	1	PRAMEF27
13060769	13062878	1	HNRNPCL3
13068677	13077884	1	PRAMEF25
13115488	13116854	1	HNRNPCL2
13148905	13158116	1	PRAMEF26
13163914	13165631	1	HNRNPCL4
13171848	13179459	1	PRAMEF9
13196188	13201409	1	PRAMEF13
13222695	13226154	1	PRAMEF18
13254198	13263435	1	PRAMEF5
13281304	13285137	1	PRAMEF8
13303539	13308907	1	PRAMEF33
13315581	13322598	1	PRAMEF15
13341892	13347134	1	PRAMEF14
13368431	13371947	1	PRAMEF19
13389632	13392629	1	PRAMEF17
13410450	13421328	1	PRAMEF20
13474973	13514003	1	LRRC38
13583465	13617957	1	PDPN
13700188	13825079	1	PRDM2
13892792	15118043	1	KAZN
15152498	15220484	1	TMEM51
15236521	15400283	1	FHAD1
15409849	15430339	1	EFHD2
15438442	15449242	1	CTRC
15456728	15472091	1	CELA2A
15465909	15491395	1	CELA2B
15490832	15526534	1	CASP9
15526813	15592379	1	DNAJC16
15571699	15585078	1	AGMAT
15617458	15669044	1	DDI2
15659713	15662033	1	RSC1A1
15681461	15734769	1	PLEKHM2
15736176	15741392	1	SLC25A34
15742499	15747982	1	TMEM82
15756604	15786594	1	FBLIM1
15807169	15809348	1	UQCRHL
15836095	15940456	1	SPEN
15940403	15976132	1	ZBTB17
16004236	16008807	1	SRARP
16014028	16020597	1	HSPB7
16018146	16034109	1	CLCNKA
16040252	16057367	1	CLCNKB
16057769	16073651	1	FAM131C
16124337	16156069	1	EPHA2
16197854	16212893	1	ARHGEF19
16231692	16237183	1	CPLANE2
16246840	16352487	1	FBXO42
16352575	16398147	1	SZRD1
16387117	16437424	1	SPATA21
16440707	16460081	1	NECAP2
16562319	16613562	1	NBPF1
16740273	16972964	1	CROCC
16974498	16981616	1	MFAP2
16985958	17011928	1	ATP13A2
17005068	17011757	1	
17018664	17054151	1	SDHB
17066761	17119459	1	PADI2
17205128	17246007	1	PADI1
17249098	17284233	1	PADI3
17308195	17364004	1	PADI4
17372196	17401699	1	PADI6
17406755	17439772	1	RCC2
17539368	17697876	1	ARHGEF10L
17755333	17827063	1	ACTL8
18107710	18378483	1	IGSF21
18480930	18485974	1	KLHDC7A
18630846	18748876	1	PAX7
18839599	18859660	1	TAS1R2
18871425	18902799	1	ALDH4A1
18904280	18956676	1	IFFO2
19074510	19210266	1	UBR4
19215660	19251552	1	EMC1
19251796	19260128	1	MRTO4
19265982	19274194	1	AKR7L
19282496	19288823	1	AKR7A3
19301991	19312144	1	AKR7A2
19312284	19329300	1	SLC66A1
19338775	19485600	1	CAPZB
19484403	19629821	1	MICOS10
19596979	19658456	1	NBL1
19597067	19656927	1	MICOS10-NBL1
19664875	19680966	1	HTR6
19682207	19800500	1	TMCO4
19814029	19815283	1	RNF186
19882395	19912945	1	OTUD3
19920009	19923617	1	PLA2G2E
19975431	19980462	1	PLA2G2A
20028179	20091911	1	PLA2G5
20111939	20119566	1	PLA2G2D
20139323	20150381	1	PLA2G2F
20161253	20186518	1	PLA2G2C
20183293	20196050	1	UBXN10
20290875	20359534	1	VWA5B1
20482391	20486210	1	CAMK2N1
20499445	20508151	1	MUL1
20552573	20555020	1	FAM43B
20588932	20618908	1	CDA
20633458	20651511	1	PINK1
20651767	20661544	1	DDOST
20664011	20718017	1	KIF17
20719724	20732837	1	SH2D5
20739095	20787323	1	HP1BP3
20806292	21177285	1	EIF4G3
21217247	21345572	1	ECE1
21440099	21485005	1	NBPF3
21509397	21578410	1	ALPL
21547404	21554002	1	
21596215	21669846	1	RAP1GAP
21678298	21783606	1	USP48
21812265	21825225	1	LDLRAD2
21822244	21937310	1	HSPG2
21977022	21998642	1	CELA3B
22001657	22012542	1	CELA3A
22025142	22092943	1	
22052627	22101360	1	CDC42
22117313	22143969	1	WNT4
22428838	22531157	1	ZBTB40
22563489	22603595	1	EPHA8
22635057	22639681	1	C1QA
22636506	22644067	1	
22642558	22648110	1	C1QC
22652713	22661637	1	C1QB
22710839	22921500	1	EPHB2
22953043	22972866	1	LACTBL1
23010834	23019100	1	TEX46
23019395	23083693	1	KDM1A
23084030	23178152	1	LUZP1
23094326	23094376	1	
23190178	23217547	1	HTR1D
23303771	23344358	1	HNRNPR
23359448	23369836	1	ZNF436
23370591	23425169	1	TCEA3
23428561	23484637	1	ASAP3
23506438	23531233	1	E2F2
23557917	23559883	1	ID3
23691685	23696835	1	RPL11
23743448	23762059	1	ELOA
23778393	23788232	1	PITHD1
23791110	23795544	1	LYPLA2
23795599	23800781	1	GALE
23801877	23838620	1	HMGCL
23845077	23868356	1	FUCA1
23870515	23913362	1	CNR2
23956839	23963776	1	PNRC2
23964347	23980927	1	SRSF10
24056035	24112190	1	MYOM3
24119771	24143165	1	IL22RA1
24154168	24187959	1	IFNLR1
24199558	24364482	1	GRHL3
24355886	24416934	1	STPG1
24413527	24476735	1	NIPAL3
24502340	24541040	1	RCAN3
24556076	24609328	1	NCMAP
24631716	24673281	1	SRRM1
24745342	24844321	1	CLIC4
24899511	24965121	1	RUNX3
25222276	25232504	1	SYF2
25242248	25338244	1	RSRP1
25272393	25330445	1	RHD
